topic,problem_statement,solution,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,correct_option_number
Spatial reasoning,"Imagine a 3-dimensional cube. Each edge of this cube is painted red, green, or blue. Every edge must be painted a different color than its directly connected edges (edges sharing the same vertex). If the cube has 12 edges total, what is the minimum number of colors needed to satisfy this painting condition?","The minimum number of colors needed is 3. You can paint the edges of the cube in a pattern such that no two edges that share a vertex will have the same color. To visualize this, imagine looking at a corner of the cube. The three edges meeting at that corner can each have a unique color. Then, you can paint the opposite edges of the cube the same color as the ones you are looking at. This way, no two connected edges share a color, satisfying the condition with just 3 colors.",2,3,4,6,Another answer,3
Sequence solving,"In a special sequence, each number is generated by the total number of letters when spelling the previous number in English. If the sequence begins with the number 4, what is the fifth number in the sequence?","Starting with 4, the sequence should go like this: 4 - Four (4 letters) -> 4 - Four (4 letters) -> 4 - Four (4 letters) -> 4 - Four (4 letters) ->4. So, the fifth number in the sequence is 4.",3,5,4,6,Another answer,3
Optimization of actions and planning,"You are given a task to water three plants located at different corners of a triangular garden. The water source is at the center of the triangle. You have a single watering can that can carry enough water to water exactly one plant. Starting from the water source, what is the least number of trips you must make to water all three plants and return to the water source at the end?","The least number of trips you can make is four. First, make one trip to water the plant closest to the water source, then return to the center. The second trip is to water the second plant and back, and the third is to water the third plant and return. Since you started from the water source and need to end there, the fourth trip is included when you return after watering the third plant.",3 trips,4 trips,5 trips,6 trips,Another answer,4
Optimization of actions and planning,"Alex has to complete 3 tasks, each with a different deadline and penalty for being late. Task A has a 2-day deadline and a $50 penalty per day late, Task B has a 4-day deadline and a $20 penalty per day late, and Task C has a 1-day deadline and a $100 penalty per day late. He can only work on one task at a time and each task takes one full day to complete. In what order should Alex complete the tasks to minimize potential penalties?","Alex should prioritize the tasks based on the highest penalty rate per day. Therefore, he should first complete Task C (highest penalty of $100 per day), then Task A ($50 per day), and finally Task B ($20 per day) to minimize the total possible penalties. Since each task is completed within its deadline, no penalties are incurred.","C, A, B","A, B, C","B, C, A","C, B, A",Another answer,1
Lateral thinking,"A woman shoots her husband. Then she holds him underwater for over 5 minutes. Finally, she hangs him. But 10 minutes later they both go out and enjoy a wonderful dinner together. How can this be?","The woman shot her husband with a camera, took a picture. She then developed the photo in her dark room where the photograph paper was submerged in the solution. 'Hanging' referred to putting the photo up to dry.",The woman has a twin who did all the actions for her.,They are actors filming a movie scene.,The husband is a zombie.,The story is about taking and developing a photograph.,Another answer,4
Spatial reasoning,"In a room, there are 4 switches corresponding to 4 light bulbs. Each bulb is contained within a separate opaque box, so when the bulbs are lit, you cannot see them unless you open the box. The switches and the bulbs are far apart, meaning once you walk to the bulbs, you cannot touch the switches again. You can flip the switches any way you like, but you can walk to the boxes only once. How do you identify which switch corresponds to each bulb?","Turn on switches 1 and 2, and leave them on for 5 minutes. After 5 minutes, turn off switch 2, leaving switch 1 on. Turn on switch 3, and leave switch 4 off. Walk to the boxes. The bulb that is lit corresponds to switch 1. The bulb that is off and warm corresponds to switch 2. The bulb that is lit but cool corresponds to switch 3. The bulb that is off and cool corresponds to switch 4.","Turn all switches on, then off one by one to check the corresponding box for each switch.","Turn on switch 1, wait a few minutes, then turn it off. Turn on switch 2 and go to the bulbs. The warm bulb corresponds to switch 1, the lit bulb to switch 2, and the remaining switches by elimination.","Turn on switches 1 and 2, wait for a while, then turn off switch 2. Turn on switch 3, and leave switch 4 off. Then check the bulbs: the lit one is switch 1, the warm one is switch 2, the other lit one is switch 3, and the remaining is switch 4.","Flip each switch on, count to ten, then flip the next switch, until all bulbs are checked individually.",Another answer,2
Optimization of actions and planning,"You have three tasks to complete, each with a different level of priority and time required. Task A takes 2 hours and is of high priority, Task B takes 4 hours and is of medium priority, and Task C takes 1 hour and is of low priority. You only have 3 hours today to allocate to these tasks. What is the optimal order to execute these tasks today to maximize priority completion, assuming you cannot split the duration of tasks?","To maximize the priority completion, you should first complete Task A (2 hours, high priority), then with the remaining 1 hour, complete Task C (1 hour, low priority). Task B cannot be completed today as it requires 4 hours. So the order is Task A followed by Task C.","Task A, Task B, Task C","Task A, Task C","Task B, Task C","Task C, Task A",Another answer,2
Lateral thinking,"Alice, Bob, and Charlie went out for lunch. They decided to split the bill evenly. After paying, they realized that the waiter gave them a discount for an arbitrary amount, which they had not noticed. To celebrate, they decided to give the waiter the same amount as a tip. Alice then commented that if she alone paid for the bill now, she would have spent the same amount as the discounted price for the entire meal. How much was the original bill if neither Alice, Bob, nor Charlie likes to carry coins and always pays exact amounts in whole dollars?","The original bill was $81. Since they split the bill evenly, the original bill had to be divisible by 3. When the waiter gave them a discount and they decided to give it back as a tip, this amount didn't affect the division of the bill among the three. For Alice's statement to hold true, the discounted bill must also be divisible by 3, because it is an amount that each would pay if they split it. Alice's part after adding the tip (1/3 of the discounted bill) is essentially the discounted total. Every dollar in the discounted total represents $3 in the original bill. Since Alice refuses to use coins, the discounted bill is a whole dollar amount that is a multiple of 3. Let's start from a reasonable amount for a meal for three and work our way up: $24 (adding the tip makes it $32, not divisible by 3), $27 (adding the tip makes it $36, which is divisible by 3). If the discounted bill was $27, each person would contribute $9. Consequently, the original bill would be $27 + $9 = $36 in total, which is not correct since Alice would have said she paid less than the original bill. Moving up, the discounted bill totaling $36 (where each person pays $12) would lead to an original $36 + $12 = $48, and so on. The next plausible discounted total is $45 (each paying $15), leading to $45 + $15 = $60 original bill, which is still incorrect following Alice's observation. The next possible discounted total that follows this pattern is $54 (each paying $18). This leads to an original bill of $54 + $18 = $72. Still, Alice's observation does not hold. The next discounted bill total could be $63 (each paying $21), leading to an original bill of $63 + $21 = $84. However, it doesn't satisfy Alice's comment because it's not an exact dollar amount as per her spending habit. Since Alice's individual payment must be a whole number, let's try the next multiple of 3, which would be $27 (which is also divisible by 3). The discounted bill would then equal $81 and the original bill $81 + $27 = $108, which is not divisible by 3. Moving down to $27 each on a discounted bill would mean a $81 total, and an original bill of $81 + $27 = $108. Since $108 is not divisible by three, it still wouldn't be correct. Since Alice, Bob, and Charlie pay whole dollars, we missed a multiplication earlier—the discounted bill must be $27 for each person. Thus the original bill is three times that ($27 * 3), which is $81. Alice pays her third, $27, as if it were the discounted price, so the original price must be $81.",$48,$60,$72,$81,Another answer,5
Spatial reasoning,"Imagine you are in a room which is shaped like a perfect cube. Each wall, including the floor and ceiling, is painted with a distinct color and you can only exit the room through a door located in one of the walls. You enter the room and observe the following: the floor is painted blue, the ceiling is red. To your right, there is a green wall and to your left, an orange wall. The wall directly in front of you is yellow. In which colored wall is the exit door located?","The only wall not accounted for in your observations is the wall directly behind you, so the exit door must be located in that wall. Assuming the room is a perfect cube and each wall is painted a distinct color with no repetitions, the missing color would be the color of the wall behind you.",Blue,Green,Yellow,The missing color that is not described in the observations,Another answer,4
Sequence solving,"In a certain sequence, each term after the first is obtained by multiplying the previous term by a certain number and then adding 1. If the first three terms of the sequence are 3, 10, and 31, what is the sixth term of the sequence?","Let the multiplier be 'x'. The sequence follows this pattern: a(n) = a(n-1) * x + 1. Given a1 = 3, a2 = 10, and a3 = 31, we can find 'x' using the first two terms: 10 = 3 * x + 1, which gives us x = 3. Using 'x', we can find the next terms: a3 = 3 * 10 + 1 = 31 (which matches the given), a4 = 3 * 31 + 1 = 94, a5 = 3 * 94 + 1 = 283, and a6 = 3 * 283 + 1 = 850. So, the sixth term is 850.",241,283,850,949,Another answer,3
Logical traps,"A logician is presented with two boxes: Box A and Box B. One box contains a gold coin and the other box contains a silver coin, but the logician does not know which is which. There is a statement written on each box. Box A has a statement reading 'The gold coin is in this box.' Box B has a statement reading 'The gold coin is not in this box.' The logician knows that one statement is true and the other is false. Which box contains the gold coin?","Both statements cannot be true, because that would mean the gold coin is simultaneously in both boxes, which is not possible. They also cannot both be false, as that implies there is no gold coin in either box, which contradicts the premise that one gold coin exists. If Box A's statement ('The gold coin is in this box') is true, then Box B's statement ('The gold coin is not in this box') must also be true, which is a logical contradiction. Therefore, Box A's statement must be false, and Box B's statement is true. The gold coin is therefore in Box B and the silver coin is in Box A.",The gold coin is in Box A.,The gold coin is in Box B.,Both boxes contain silver coins.,Both boxes contain gold coins.,Another answer,2
Sequence solving,"You observe a sequence of operations on a number that is reduced by half in the first step, tripled in the second step, added by six in the third step, and finally decreased by four in the fourth step. If applying these operations in order on the initial number 100 creates a resulting number equal to the initial number, what will be the final number if you start with 50?","Starting with initial number 100: 100 / 2 = 50, 50 * 3 = 150, 150 + 6 = 156, 156 - 4 = 152, which is not equal to the initial number, so there is no number that after performing these operations will result in the initial number. However, starting with 50: 50 / 2 = 25, 25 * 3 = 75, 75 + 6 = 81, 81 - 4 = 77. Therefore, the final number when beginning with 50 is 77.",76,77,78,79,Another answer,2
Spatial reasoning,"On a table, there are three boxes labeled with the letters A, B, and C. Each box is incorrectly labeled with its contents. Box A is labeled 'Oranges', Box B is labeled 'Apples', and Box C is labeled 'Apples and Oranges', but none of these labels correctly describe the contents of their boxes. By only drawing one fruit from one box, can you determine the correct labels for all the boxes? What box will you draw from and what will be your subsequent logic to correctly relabel them?","Yes, you can determine the correct labels for the boxes by just drawing one fruit from one box. We know that none of the boxes are labeled correctly. Therefore, Box C cannot contain both apples and oranges since it's labeled 'Apples and Oranges'. Since all labels are incorrect, Box C must contain either just apples or just oranges. With this in mind, we'd draw from Box C. If you draw an apple, that means Box C contains just apples. Since Box C contained apples, Box A cannot contain oranges (as it's also incorrectly labeled), so Box A must contain a mix of apples and oranges. Lastly, Box B, which had to also be incorrectly labeled 'Apples', must contain oranges. If you draw an orange from Box C, conversely, Box C is the orange box, Box A would then be the apple box, and Box B would be mixed.","Draw from Box A, Box A: Apples and Oranges, Box B: Oranges, Box C: Apples","Draw from Box B, Box A: Oranges, Box B: Apples and Oranges, Box C: Apples","Draw from Box C, Box C holds whatever fruit is drawn, the other two are determined accordingly",Cannot be solved with just one draw,Another answer,3
Sequence solving,"You're given a numeric sequence that appears random at first glance: 2, 12, 36, 80, 150, ____. To find the missing number, you must realize the hidden pattern. What number should replace the blank?","The sequence follows a hidden pattern based on cubic numbers. The nth term is obtained by taking the cube of n and adding the product of the previous two integers. So for the 1st term (2), it is 1^3 + (0*1) = 2, for the 2nd term (12), it is 2^3 + (1*2) = 12, and so forth. Following this pattern, the 6th term should be 6^3 + (5*6) = 216 + 30 = 246.",210,246,290,256,Another answer,5
Lateral thinking,"Mr. Black, Mr. Blue, Mr. Red, and Mr. Green were all at a business meeting. Each man was wearing a tie that matched their last name (for example, Mr. Black wore a black tie). After the meeting concluded, it was observed that none of the men were wearing a tie that matched their own last name. If Mr. Black was not wearing a blue or red tie, and Mr. Red was not wearing a green tie, what color tie was Mr. Green wearing?","Let's consider the information given: 1. None of the men are wearing a tie that matches their own last name. 2. Mr. Black is not wearing a blue or red tie. Therefore, Mr. Black must be wearing a green tie. 3. Mr. Red is not wearing a green tie. Given that Mr. Black is wearing the green tie, Mr. Red must be wearing a blue tie. Now, we know the tie colors for Mr. Black and Mr. Red. Mr. Green can't be wearing a green tie (point 1) or a blue tie (since Mr. Red is wearing that). Therefore, Mr. Green must be wearing a black tie.",Black,Blue,Red,Green,Another answer,1
Optimization of actions and planning,"A traveler needs to visit four cities – A, B, C, and D. The distances between them are: A to B is 300km, A to C is 200km, A to D is 400km, B to C is 150km, B to D is 250km, C to D is 100km. The traveler can start at any city. What is the shortest path he can take to visit all cities, without visiting the same city more than once?","The shortest path is A -> C -> D -> B -> A which is 200km + 100km + 250km + 300km = 850km. The process is to list all permutations of visits and calculate the sum of distances for each. Then, choose the permutation with the shortest travel distance.",A -> B -> C -> D -> A,C -> D -> B -> A -> C,A -> C -> D -> B -> A,B -> A -> C -> D -> B,Another answer,5
Classic riddles,A man builds a rectangular house with all four sides facing south. A bear walks by the house. What color is the bear?,"The only place where all four sides of a house could face south would be the North Pole. If a bear walked by, it would have to be a polar bear, which is white.",Black,Brown,White,"None, bears don't walk by houses.",Another answer,3
Classic riddles,"In a kingdom, there are 5 wells each containing different amounts of water. The first well contains half the amount of water than the second well. The third well contains 3 liters less than the first well. The fourth well contains twice the amount of the third, and the last well has a quantity that is the average of all four previous wells. If the first and the last wells together contain 35 liters, how much water does the third well contain?","Let's denote the amounts of water in the five wells with W1, W2, W3, W4, and W5 respectively. According to the problem:
W1 = 0.5 * W2
W3 = W1 - 3
W4 = 2 * W3
W5 = (W1 + W2 + W3 + W4) / 4
W1 + W5 = 35
We can use these relationships to form equations. Using the third equation, we get W4 = 2 * (W1 - 3). With the fourth equation, we have W5 = (2 * W1 + 2 * (W1 - 3)) / 4 = (2 * W1 + W1 - 3) / 2 = (3 * W1 - 3) / 2
Re-write the fifth equation,
W1 + (3 * W1 - 3) / 2 = 35. Multiply by 2 to get rid of the fraction, 2 * W1 + 3 * W1 - 3 = 70,5 * W1 - 3 = 70. By solving this equation, we get, W1 = 73 / 5, W1 = 14.6 liters.
Now we have W1, and we need to find W3, W3 = W1 - 3, W3 = 14.6 - 3, W3 = 11.6 liters.",9.6 liters,11.6 liters,13.6 liters,15.6 liters,Another answer,5
Optimization of actions and planning,"You have a list of tasks to complete within a day. Each task takes a specific whole number of hours and must be completed without interruption. The tasks are as follows: Task A takes 3 hours, Task B takes 6 hours, Task C takes 1 hour, and Task D takes 2 hours. Your goal is to complete all tasks exactly within a 12-hour period with no overlapping, no idle time in between, and no splitting of tasks. In how many different orders can you arrange and complete these tasks?","To find the number of different orders we can arrange and complete the tasks, we have to calculate the permutations of these 4 tasks. All tasks are unique, we consider the problem as arranging 4 distinct objects, which is calculated as 4! (4 factorial). 4! = 4 * 3 * 2 * 1 = 24. Therefore, there are 24 different ways to arrange and complete the tasks within a 12-hour period.",6,12,24,48,Another answer,3
Lateral thinking,"There was once a man who lived in a small village. Everyone in the village knew that the man had the mysterious power to predict the exact percentage of rain for any given day. One day, a villager approached him, asking for the chance of rain tomorrow, hoping to plan his work. The man responded with a phrase: 'The chance of tomorrow's rain is directly related to the sounds of the night. If you hear one, there's a fifty percent chance. If you hear two, a hundred percent certainty. If you hear none, the skies will be clear.' The villager pondered the answer and knew exactly what the man referred to. What was the man's key to predicting the rain?","The man was referring to the number of times a nocturnal animal, which only calls when rain is approaching, would make a sound during the night. If the villager heard the animal call once, it meant that there was a chance of rain because the animal sensed a change in atmospheric pressure or humidity, indicative of rain. Heard twice, it meant the animal was certain of rain coming. If the animal didn't make any sound, it would mean clear skies were expected.",The man used a barometer.,The man was guessing based on the previous day's weather.,The man used the behavior of a nocturnal animal as a sign.,The man watched the sky for patterns.,Another answer,3
Classic riddles,"A man wants to send a valuable object to his friend by mail. The object is more valuable than any lock or key, so he can't just send it in an unlocked box. He has a lock but his friend does not have the corresponding key. How can he send the valuable object, locked, and ensure that his friend can open it without sending the key through an unsecured mail system?","The man locks the valuable object in the box and sends it to his friend. The friend receives the locked box, and then adds his own lock and sends it back. The man receives this double-locked box, removes his own lock with his key, and sends it back to his friend. Now, the box is only locked with the friend's lock, and since his friend has the key to that lock, he can now open the box with the valuable object safely inside.",The friend sends his lock to the man first.,The man sends the unlocked box and the key separately.,The man and his friend use a third-party service to exchange the key.,"The man sends the box locked with his lock, then his friend adds his lock and sends it back.",Another answer,4
Optimization of actions and planning,"Ella has been given a project that requires her to complete three different tasks. Each task can be started after the previous one is finished. The tasks take 3, 5, and 7 hours respectively. She can choose to work for a maximum of 8 hours per day. However, if a task is started, she would like to finish it the same day. She cannot work on weekends. What is the minimum number of days Ella needs to complete the project?","The key to optimizing Ella's schedule is to minimize the number of days without violating her conditions for working hours and task completion. Day 1: Ella can complete the first task (3 hours) and start the second task but won't be able to complete it within the same day within 8 hour limit. Day 2: Ella completes the second task (5 hours), which takes a total of 5 hours but can't start the third task. Day 3: Ella completes the third task, which takes 7 hours. Hence, the minimum number of days Ella needs to complete the project is 3.",2 days,3 days,4 days,5 days,Another answer,1
Spatial reasoning,"You are in a room with 4 doors, positioned at each wall and facing the cardinal directions: North, East, South, and West. Each door leads to a distinct room, and only one of these rooms contains an escape key, while the others contain a trap. The escape room door follows a logic based on its positioning. If North is Door 1, East is Door 2, South is Door 3, and West is Door 4, the following clues are provided: (1) The escape room door's number is not prime. (2) The sum of the digits of the escape room door's number is greater than the room door number directly opposite it. Which door should you choose to escape safely?","The door numbers based on cardinal directions: North - Door 1, East - Door 2, South - Door 3, West - Door 4. The clue (1) states that the number is not prime, eliminating Door 2 and Door 3 since 2 and 3 are prime numbers. Clue (2) indicates the sum of the digits should be greater than the door directly opposite; for Door 1, the opposite door is Door 3, and the sum of 1 (Door 1's number) is not greater than 3. Hence, the only possibility remaining is Door 4 as it is not a prime number and 4 (the sum of the digits of Door 4's number) is indeed greater than 1 (number of Door 1 which is directly opposite). Therefore, the escape door is West - Door 4.",North - Door 1,East - Door 2,South - Door 3,West - Door 4,Another answer,4
Sequence solving,"Consider a sequence where each term is the sum of the last three terms, with the first three terms being 1, 2, and 3. What is the 7th term of the sequence?","The sequence is developed as follows: 1, 2, 3, (1+2+3)=6, (2+3+6)=11, (3+6+11)=20, (6+11+20)=37. Hence, the 7th term is 37.",24,33,37,42,Another answer,3
Operation of mechanisms,"In a factory, there are three machines A, B, and C. Machine A can assemble a product in 5 minutes, Machine B can do it in 7 minutes, and Machine C can do it in 10 minutes. If all three machines start assembling the product at the same time, how many minutes will it take for all three machines to assemble a total of 10 products?","To find the time when 10 products are completed collectively, first find the rate at which each machine produces products. Machine A produces 1 product in 5 minutes so in 1 minute it produces 1/5 of a product. Machine B produces 1/7, and Machine C produces 1/10 of a product per minute. Together, in 1 minute, they produce 1/5 + 1/7 + 1/10 = 70/350 + 50/350 + 35/350 = 155/350 = 31/70 of a product. To make 10 products, they will collectively take 10 / (31/70) minutes, which is 70/31 * 10 minutes. This simplifies to 700/31 minutes. Since we cannot have a fraction of a minute, we take the closest whole number without going over, which is 22 minutes (since 700/31 is approximately 22.58). In 22 minutes, the three machines together will assemble 22 * 31/70 = 682/70, which is almost 9.74 products. So, they need one more minute for the last bit of the 10th product. Therefore, the machines will take 23 minutes to assemble a total of 10 products.",20 minutes,22 minutes,23 minutes,25 minutes,Another answer,3
Spatial reasoning,"You are in a room with four doors, each one leading to a tunnel. The first tunnel takes 4 minutes to traverse, the second takes 2 minutes, the third takes 5 minutes, and the fourth takes 1 minute. At the end of each tunnel is another room exactly like the first, with four doors and identical tunnel times. You must reach a room with a blue door that appears only after going through two consecutive tunnels that take an odd number of minutes to traverse. What is the minimum amount of time needed to reach the room with the blue door?","The blue door appears only after two consecutive tunnels with odd traversal times. So the fastest way to reach the blue door is to take the 5-minute tunnel, then immediately take another 5-minute tunnel. This way, two consecutive odd-minute tunnels are traversed. The minimum time to reach the room with the blue door is therefore 5 + 5 = 10 minutes.",6 minutes,7 minutes,9 minutes,10 minutes,Another answer,4
Operation of mechanisms,"You are given a box that has three gears connected in a sequence. Gear A has 12 teeth, Gear B has 8 teeth, and Gear C has 6 teeth. Gear A is connected to a handle that you can rotate, and for every full rotation of Gear A, Gear B rotates a specific number of times, which in turn causes Gear C to rotate a certain number of times. If you rotate the handle attached to Gear A once completely, how many full rotations does Gear C complete?","For every rotation of Gear A, Gear B will rotate 12 / 8 times, because the teeth of the gears are meshing and that's the ratio of their teeth. This simplifies to 1.5 rotations of Gear B. Since Gear C is connected to Gear B, for each rotation of Gear B, Gear C will rotate 8 / 6 times, which simplifies to 1.333... rotations. Therefore, for each complete rotation of Gear A, Gear C will rotate 1.5 * 1.333..., which is 2 full rotations.",1 rotation,1.5 rotations,2 rotations,2.5 rotations,Another answer,3
